Liste;Carte;Description;Priorite
A faire;Analyser les besoins ECF;Profils, menus, commandes, employe, administrateur, SQL et NoSQL;Haute
A faire;Creer les maquettes;3 maquettes ordinateur et 3 maquettes mobile;Haute
A faire;Configurer l'environnement;XAMPP, PHP, MariaDB, MongoDB et extension PHP mongodb;Haute
En cours;Developper le catalogue;Menus, details dynamiques, filtres et conditions;Haute
En cours;Developper l'authentification;Inscription, connexion, sessions et reinitialisation;Haute
En cours;Developper la commande;Calcul, remise, livraison, stock et historique;Haute
En cours;Developper les espaces;Compte client, employe et administrateur;Haute
En cours;Ajouter les statistiques;MongoDB, chiffre d'affaires, filtres et graphique;Haute
A tester;Tester les formulaires;Contact, commande, inscription et avis;Moyenne
A tester;Tester la securite;Roles, sessions, mots de passe, SQL prepare et headers;Haute
A tester;Faire la recette RGAA;Clavier, contraste, zoom, mobile et lecteur d'ecran;Haute
A tester;Tester le SMTP;Contact, reset, compte employe et confirmation commande;Haute
Termine;Rediger la documentation;README, deploiement, diagrammes, charte et audit RGAA;Moyenne
A faire;Deployer l'application;Hebergement public, HTTPS, MariaDB, MongoDB et SMTP;Haute
A faire;Fournir les liens;GitHub public, application et tableau Trello;Haute
